Exp,Op,Matrix Size,Block Size,Time,P
lu_omp_3,4,1024,256,0.116562,3
lu_omp_3,4,1024,256,0.115936,3
lu_omp_3,4,1024,256,0.11583,3
lu_omp_3,4,2048,256,0.717563,3
lu_omp_3,4,2048,256,0.717529,3
lu_omp_3,4,2048,256,0.717046,3
lu_omp_3,4,3072,256,2.26666,3
lu_omp_3,4,3072,256,2.27045,3
lu_omp_3,4,3072,256,2.27014,3
lu_omp_3,4,4096,256,5.20995,3
lu_omp_3,4,4096,256,5.2195,3
lu_omp_3,4,4096,256,5.22079,3
lu_omp_3,4,5120,256,11.3779,3
lu_omp_3,4,5120,256,11.3877,3
lu_omp_3,4,5120,256,11.3713,3
lu_omp_3,4,6144,256,19.8271,3
lu_omp_3,4,6144,256,19.8343,3
lu_omp_3,4,6144,256,19.8846,3
lu_omp_3,4,7168,256,31.0842,3
lu_omp_3,4,7168,256,31.1454,3
lu_omp_3,4,7168,256,31.0075,3
lu_omp_3,4,8192,256,47.4822,3
lu_omp_3,4,8192,256,47.232,3
lu_omp_3,4,8192,256,47.1966,3
