Exp,Op,Matrix Size,Block Size,Time,P
lu_omp_4,4,1024,256,0.111038,4
lu_omp_4,4,1024,256,0.103194,4
lu_omp_4,4,1024,256,0.10334,4
lu_omp_4,4,2048,256,0.57572,4
lu_omp_4,4,2048,256,0.576395,4
lu_omp_4,4,2048,256,0.575818,4
lu_omp_4,4,3072,256,1.8017,4
lu_omp_4,4,3072,256,1.80739,4
lu_omp_4,4,3072,256,1.80387,4
lu_omp_4,4,4096,256,4.16642,4
lu_omp_4,4,4096,256,4.17504,4
lu_omp_4,4,4096,256,4.17093,4
lu_omp_4,4,5120,256,10.421,4
lu_omp_4,4,5120,256,10.4153,4
lu_omp_4,4,5120,256,10.4534,4
lu_omp_4,4,6144,256,18.9351,4
lu_omp_4,4,6144,256,18.9355,4
lu_omp_4,4,6144,256,19.2158,4
lu_omp_4,4,7168,256,31.3171,4
lu_omp_4,4,7168,256,31.2604,4
lu_omp_4,4,7168,256,31.023,4
lu_omp_4,4,8192,256,47.5952,4
lu_omp_4,4,8192,256,47.4935,4
lu_omp_4,4,8192,256,47.4429,4
