Exp,Op,Matrix Size,Block Size,Time,P
lu_omp_4,4,1024,512,0.233912,4
lu_omp_4,4,1024,512,0.213403,4
lu_omp_4,4,1024,512,0.211372,4
lu_omp_4,4,2048,512,0.969739,4
lu_omp_4,4,2048,512,0.971767,4
lu_omp_4,4,2048,512,0.971711,4
lu_omp_4,4,3072,512,2.88553,4
lu_omp_4,4,3072,512,2.89423,4
lu_omp_4,4,3072,512,2.89153,4
lu_omp_4,4,4096,512,6.54229,4
lu_omp_4,4,4096,512,6.56564,4
lu_omp_4,4,4096,512,6.55766,4
lu_omp_4,4,5120,512,13.2628,4
lu_omp_4,4,5120,512,13.2896,4
lu_omp_4,4,5120,512,13.3225,4
lu_omp_4,4,6144,512,24.6982,4
lu_omp_4,4,6144,512,24.7943,4
lu_omp_4,4,6144,512,24.706,4
lu_omp_4,4,7168,512,37.5841,4
lu_omp_4,4,7168,512,38.195,4
lu_omp_4,4,7168,512,37.7649,4
lu_omp_4,4,8192,512,55.9787,4
lu_omp_4,4,8192,512,57.0224,4
lu_omp_4,4,8192,512,56.5041,4
