Exp,Op,Matrix Size,Block Size,Time,P
lu_omp_1,4,1024,128,0.238544,1
lu_omp_1,4,1024,128,0.237106,1
lu_omp_1,4,1024,128,0.238095,1
lu_omp_1,4,2048,128,1.8816,1
lu_omp_1,4,2048,128,1.88344,1
lu_omp_1,4,2048,128,1.8848,1
lu_omp_1,4,3072,128,6.33422,1
lu_omp_1,4,3072,128,6.33854,1
lu_omp_1,4,3072,128,6.3488,1
lu_omp_1,4,4096,128,15.0083,1
lu_omp_1,4,4096,128,15.0102,1
lu_omp_1,4,4096,128,15.018,1
lu_omp_1,4,5120,128,29.591,1
lu_omp_1,4,5120,128,29.5692,1
lu_omp_1,4,5120,128,29.5913,1
lu_omp_1,4,6144,128,51.2942,1
lu_omp_1,4,6144,128,51.3744,1
lu_omp_1,4,6144,128,51.3692,1
lu_omp_1,4,7168,128,82.3534,1
lu_omp_1,4,7168,128,81.6402,1
lu_omp_1,4,7168,128,81.6257,1
lu_omp_1,4,8192,128,121.901,1
lu_omp_1,4,8192,128,121.872,1
lu_omp_1,4,8192,128,121.807,1
