Exp,Op,Matrix Size,Block Size,Time,P
lu_omp_2,4,1024,128,0.130885,2
lu_omp_2,4,1024,128,0.130171,2
lu_omp_2,4,1024,128,0.13012,2
lu_omp_2,4,2048,128,0.989101,2
lu_omp_2,4,2048,128,0.988037,2
lu_omp_2,4,2048,128,0.98812,2
lu_omp_2,4,3072,128,3.30211,2
lu_omp_2,4,3072,128,3.29971,2
lu_omp_2,4,3072,128,3.30046,2
lu_omp_2,4,4096,128,7.80138,2
lu_omp_2,4,4096,128,7.80928,2
lu_omp_2,4,4096,128,7.80619,2
lu_omp_2,4,5120,128,15.3209,2
lu_omp_2,4,5120,128,15.3135,2
lu_omp_2,4,5120,128,15.324,2
lu_omp_2,4,6144,128,26.527,2
lu_omp_2,4,6144,128,26.6345,2
lu_omp_2,4,6144,128,26.8884,2
lu_omp_2,4,7168,128,42.0936,2
lu_omp_2,4,7168,128,42.0983,2
lu_omp_2,4,7168,128,42.0913,2
lu_omp_2,4,8192,128,62.8322,2
lu_omp_2,4,8192,128,62.8392,2
lu_omp_2,4,8192,128,62.8525,2
