Exp,Op,Matrix Size,Block Size,Time,P
matmul_omp_4,3,1024,256,0.177411,4
matmul_omp_4,3,1024,256,0.177033,4
matmul_omp_4,3,1024,256,0.177007,4
matmul_omp_4,3,2048,256,1.41519,4
matmul_omp_4,3,2048,256,1.41508,4
matmul_omp_4,3,2048,256,1.41496,4
matmul_omp_4,3,3072,256,4.77622,4
matmul_omp_4,3,3072,256,4.77715,4
matmul_omp_4,3,3072,256,4.77645,4
matmul_omp_4,3,4096,256,12.4754,4
matmul_omp_4,3,4096,256,11.9442,4
matmul_omp_4,3,4096,256,11.6352,4
matmul_omp_4,3,5120,256,23.7196,4
matmul_omp_4,3,5120,256,23.5666,4
matmul_omp_4,3,5120,256,24.3167,4
matmul_omp_4,3,6144,256,47.1626,4
matmul_omp_4,3,6144,256,45.1137,4
matmul_omp_4,3,6144,256,42.5242,4
matmul_omp_4,3,7168,256,114.152,4
matmul_omp_4,3,7168,256,85.0829,4
matmul_omp_4,3,7168,256,78.209,4
matmul_omp_4,3,8192,256,122.455,4
matmul_omp_4,3,8192,256,124.134,4
matmul_omp_4,3,8192,256,119.022,4
