Exp,Op,Matrix Size,Block Size,Time,P
matmul_cuda,1,1024,16,0.019384,N/A
matmul_cuda,1,1024,16,0.01922,N/A
matmul_cuda,1,1024,16,0.019273,N/A
matmul_cuda,1,2048,16,0.152366,N/A
matmul_cuda,1,2048,16,0.151812,N/A
matmul_cuda,1,2048,16,0.15125,N/A
matmul_cuda,1,3072,16,0.510266,N/A
matmul_cuda,1,3072,16,0.512002,N/A
matmul_cuda,1,3072,16,0.517937,N/A
matmul_cuda,1,4096,16,1.21255,N/A
matmul_cuda,1,4096,16,1.22209,N/A
matmul_cuda,1,4096,16,1.23161,N/A
matmul_cuda,1,5120,16,2.41391,N/A
matmul_cuda,1,5120,16,2.41643,N/A
matmul_cuda,1,5120,16,2.42073,N/A
matmul_cuda,1,6144,16,4.19227,N/A
matmul_cuda,1,6144,16,4.22559,N/A
matmul_cuda,1,6144,16,4.22752,N/A
matmul_cuda,1,7168,16,6.6789,N/A
matmul_cuda,1,7168,16,6.73836,N/A
matmul_cuda,1,7168,16,6.85703,N/A
matmul_cuda,1,8192,16,10.101,N/A
matmul_cuda,1,8192,16,10.0865,N/A
matmul_cuda,1,8192,16,10.1317,N/A
