Exp,Op,Matrix Size,Block Size,Time,P
matmul_cuda,1,1024,8,0.035897,N/A
matmul_cuda,1,1024,8,0.035832,N/A
matmul_cuda,1,1024,8,0.035802,N/A
matmul_cuda,1,2048,8,0.229055,N/A
matmul_cuda,1,2048,8,0.211804,N/A
matmul_cuda,1,2048,8,0.209527,N/A
matmul_cuda,1,3072,8,0.71122,N/A
matmul_cuda,1,3072,8,0.713012,N/A
matmul_cuda,1,3072,8,0.712018,N/A
matmul_cuda,1,4096,8,1.66422,N/A
matmul_cuda,1,4096,8,1.68621,N/A
matmul_cuda,1,4096,8,1.66169,N/A
matmul_cuda,1,5120,8,3.23185,N/A
matmul_cuda,1,5120,8,3.24768,N/A
matmul_cuda,1,5120,8,3.23302,N/A
matmul_cuda,1,6144,8,5.64844,N/A
matmul_cuda,1,6144,8,5.67129,N/A
matmul_cuda,1,6144,8,5.7086,N/A
matmul_cuda,1,7168,8,9.00967,N/A
matmul_cuda,1,7168,8,9.05835,N/A
matmul_cuda,1,7168,8,9.0695,N/A
matmul_cuda,1,8192,8,13.4856,N/A
matmul_cuda,1,8192,8,13.5214,N/A
matmul_cuda,1,8192,8,13.6134,N/A
