Exp,Op,Matrix Size,Block Size,Time,P
matmul_cuda,2,1024,16,0.015101,N/A
matmul_cuda,2,1024,16,0.015027,N/A
matmul_cuda,2,1024,16,0.015119,N/A
matmul_cuda,2,2048,16,0.122114,N/A
matmul_cuda,2,2048,16,0.121687,N/A
matmul_cuda,2,2048,16,0.122112,N/A
matmul_cuda,2,3072,16,0.406593,N/A
matmul_cuda,2,3072,16,0.408549,N/A
matmul_cuda,2,3072,16,0.421555,N/A
matmul_cuda,2,4096,16,1.00606,N/A
matmul_cuda,2,4096,16,1.02799,N/A
matmul_cuda,2,4096,16,1.039,N/A
matmul_cuda,2,5120,16,2.04252,N/A
matmul_cuda,2,5120,16,2.07271,N/A
matmul_cuda,2,5120,16,2.07848,N/A
matmul_cuda,2,6144,16,3.74334,N/A
matmul_cuda,2,6144,16,3.80765,N/A
matmul_cuda,2,6144,16,3.77232,N/A
matmul_cuda,2,7168,16,5.94277,N/A
matmul_cuda,2,7168,16,5.95184,N/A
matmul_cuda,2,7168,16,5.94133,N/A
matmul_cuda,2,8192,16,9.01127,N/A
matmul_cuda,2,8192,16,9.11516,N/A
matmul_cuda,2,8192,16,9.16422,N/A
