Exp,Op,Matrix Size,Block Size,Time,P
lu_omp_2,2,1024,512,0.243591,2
lu_omp_2,2,1024,512,0.243116,2
lu_omp_2,2,1024,512,0.248797,2
lu_omp_2,2,2048,512,1.83034,2
lu_omp_2,2,2048,512,1.8118,2
lu_omp_2,2,2048,512,1.81227,2
lu_omp_2,2,3072,512,6.08768,2
lu_omp_2,2,3072,512,6.06153,2
lu_omp_2,2,3072,512,6.08822,2
lu_omp_2,2,4096,512,14.3564,2
lu_omp_2,2,4096,512,14.3471,2
lu_omp_2,2,4096,512,14.3784,2
lu_omp_2,2,5120,512,28.2107,2
lu_omp_2,2,5120,512,28.1872,2
lu_omp_2,2,5120,512,28.224,2
lu_omp_2,2,6144,512,48.8906,2
lu_omp_2,2,6144,512,48.8979,2
lu_omp_2,2,6144,512,48.9253,2
lu_omp_2,2,7168,512,77.4946,2
lu_omp_2,2,7168,512,77.4358,2
lu_omp_2,2,7168,512,77.4806,2
lu_omp_2,2,8192,512,115.157,2
lu_omp_2,2,8192,512,116.004,2
lu_omp_2,2,8192,512,114.894,2
