Exp,Op,Matrix Size,Block Size,Time,P
lu_omp_4,2,1024,512,0.242066,4
lu_omp_4,2,1024,512,0.241639,4
lu_omp_4,2,1024,512,0.241805,4
lu_omp_4,2,2048,512,1.79932,4
lu_omp_4,2,2048,512,1.80025,4
lu_omp_4,2,2048,512,1.80072,4
lu_omp_4,2,3072,512,6.03994,4
lu_omp_4,2,3072,512,6.04073,4
lu_omp_4,2,3072,512,6.04713,4
lu_omp_4,2,4096,512,14.291,4
lu_omp_4,2,4096,512,14.3096,4
lu_omp_4,2,4096,512,14.3042,4
lu_omp_4,2,5120,512,28.0895,4
lu_omp_4,2,5120,512,28.1005,4
lu_omp_4,2,5120,512,28.0882,4
lu_omp_4,2,6144,512,48.673,4
lu_omp_4,2,6144,512,48.6923,4
lu_omp_4,2,6144,512,48.7012,4
lu_omp_4,2,7168,512,77.1768,4
lu_omp_4,2,7168,512,77.1796,4
lu_omp_4,2,7168,512,77.1907,4
lu_omp_4,2,8192,512,114.821,4
lu_omp_4,2,8192,512,114.787,4
lu_omp_4,2,8192,512,114.779,4
