Exp,Op,Matrix Size,Block Size,Time,P
lu_omp_2,2,1024,256,0.227577,2
lu_omp_2,2,1024,256,0.22689,2
lu_omp_2,2,1024,256,0.22683,2
lu_omp_2,2,2048,256,1.76994,2
lu_omp_2,2,2048,256,1.77914,2
lu_omp_2,2,2048,256,1.77199,2
lu_omp_2,2,3072,256,5.95157,2
lu_omp_2,2,3072,256,5.979,2
lu_omp_2,2,3072,256,5.98224,2
lu_omp_2,2,4096,256,14.1465,2
lu_omp_2,2,4096,256,14.1667,2
lu_omp_2,2,4096,256,14.1656,2
lu_omp_2,2,5120,256,27.7886,2
lu_omp_2,2,5120,256,27.7893,2
lu_omp_2,2,5120,256,27.7882,2
lu_omp_2,2,6144,256,48.1553,2
lu_omp_2,2,6144,256,48.2273,2
lu_omp_2,2,6144,256,48.2045,2
lu_omp_2,2,7168,256,76.4641,2
lu_omp_2,2,7168,256,76.4756,2
lu_omp_2,2,7168,256,76.5343,2
lu_omp_2,2,8192,256,114.06,2
lu_omp_2,2,8192,256,114.066,2
lu_omp_2,2,8192,256,114.049,2
