Exp,Op,Matrix Size,Block Size,Time,P
lu_omp_4,2,1024,256,0.227496,4
lu_omp_4,2,1024,256,0.226877,4
lu_omp_4,2,1024,256,0.227228,4
lu_omp_4,2,2048,256,1.76982,4
lu_omp_4,2,2048,256,1.7734,4
lu_omp_4,2,2048,256,1.77144,4
lu_omp_4,2,3072,256,5.95158,4
lu_omp_4,2,3072,256,5.9504,4
lu_omp_4,2,3072,256,5.95882,4
lu_omp_4,2,4096,256,14.0959,4
lu_omp_4,2,4096,256,14.0976,4
lu_omp_4,2,4096,256,14.097,4
lu_omp_4,2,5120,256,27.6555,4
lu_omp_4,2,5120,256,27.6736,4
lu_omp_4,2,5120,256,27.6764,4
lu_omp_4,2,6144,256,47.9409,4
lu_omp_4,2,6144,256,47.9532,4
lu_omp_4,2,6144,256,47.9604,4
lu_omp_4,2,7168,256,76.1485,4
lu_omp_4,2,7168,256,76.156,4
lu_omp_4,2,7168,256,76.1127,4
lu_omp_4,2,8192,256,113.555,4
lu_omp_4,2,8192,256,113.647,4
lu_omp_4,2,8192,256,113.677,4
