Exp,Op,Matrix Size,Block Size,Time,P
lu_omp_2,2,1024,128,0.235975,2
lu_omp_2,2,1024,128,0.234723,2
lu_omp_2,2,1024,128,0.235443,2
lu_omp_2,2,2048,128,1.87505,2
lu_omp_2,2,2048,128,1.87626,2
lu_omp_2,2,2048,128,1.876,2
lu_omp_2,2,3072,128,6.32967,2
lu_omp_2,2,3072,128,6.34393,2
lu_omp_2,2,3072,128,6.32373,2
lu_omp_2,2,4096,128,14.9932,2
lu_omp_2,2,4096,128,15.0042,2
lu_omp_2,2,4096,128,14.9921,2
lu_omp_2,2,5120,128,29.5051,2
lu_omp_2,2,5120,128,29.4697,2
lu_omp_2,2,5120,128,29.5063,2
lu_omp_2,2,6144,128,51.1915,2
lu_omp_2,2,6144,128,51.1877,2
lu_omp_2,2,6144,128,51.2122,2
lu_omp_2,2,7168,128,81.4287,2
lu_omp_2,2,7168,128,81.5112,2
lu_omp_2,2,7168,128,81.4828,2
lu_omp_2,2,8192,128,121.626,2
lu_omp_2,2,8192,128,121.623,2
lu_omp_2,2,8192,128,121.651,2
