Exp,Op,Matrix Size,Block Size,Time,P
lu_omp_1,2,1024,512,0.241401,1
lu_omp_1,2,1024,512,0.241192,1
lu_omp_1,2,1024,512,0.240752,1
lu_omp_1,2,2048,512,1.80638,1
lu_omp_1,2,2048,512,1.80932,1
lu_omp_1,2,2048,512,1.80513,1
lu_omp_1,2,3072,512,6.06013,1
lu_omp_1,2,3072,512,6.04827,1
lu_omp_1,2,3072,512,6.07499,1
lu_omp_1,2,4096,512,14.3022,1
lu_omp_1,2,4096,512,14.3183,1
lu_omp_1,2,4096,512,14.332,1
lu_omp_1,2,5120,512,28.0462,1
lu_omp_1,2,5120,512,28.052,1
lu_omp_1,2,5120,512,28.198,1
lu_omp_1,2,6144,512,49.3597,1
lu_omp_1,2,6144,512,48.7751,1
lu_omp_1,2,6144,512,48.7794,1
lu_omp_1,2,7168,512,76.8785,1
lu_omp_1,2,7168,512,76.9106,1
lu_omp_1,2,7168,512,77.1791,1
lu_omp_1,2,8192,512,115.132,1
lu_omp_1,2,8192,512,115.114,1
lu_omp_1,2,8192,512,115.151,1
