Exp,Op,Matrix Size,Block Size,Time,P
lu_omp_4,2,1024,128,0.235781,4
lu_omp_4,2,1024,128,0.235395,4
lu_omp_4,2,1024,128,0.236517,4
lu_omp_4,2,2048,128,1.87346,4
lu_omp_4,2,2048,128,1.8762,4
lu_omp_4,2,2048,128,1.87733,4
lu_omp_4,2,3072,128,6.31414,4
lu_omp_4,2,3072,128,6.36036,4
lu_omp_4,2,3072,128,6.31923,4
lu_omp_4,2,4096,128,14.9668,4
lu_omp_4,2,4096,128,14.9786,4
lu_omp_4,2,4096,128,14.9843,4
lu_omp_4,2,5120,128,29.4643,4
lu_omp_4,2,5120,128,29.4577,4
lu_omp_4,2,5120,128,29.4665,4
lu_omp_4,2,6144,128,51.1652,4
lu_omp_4,2,6144,128,51.1685,4
lu_omp_4,2,6144,128,51.1736,4
lu_omp_4,2,7168,128,81.3548,4
lu_omp_4,2,7168,128,81.3593,4
lu_omp_4,2,7168,128,81.3849,4
lu_omp_4,2,8192,128,121.689,4
lu_omp_4,2,8192,128,121.634,4
lu_omp_4,2,8192,128,121.704,4
