Exp,Op,Matrix Size,Block Size,Time,P
lu_omp_3,3,1024,512,0.209075,3
lu_omp_3,3,1024,512,0.209113,3
lu_omp_3,3,1024,512,0.209574,3
lu_omp_3,3,2048,512,0.957804,3
lu_omp_3,3,2048,512,0.961669,3
lu_omp_3,3,2048,512,0.962747,3
lu_omp_3,3,3072,512,2.99361,3
lu_omp_3,3,3072,512,3.009,3
lu_omp_3,3,3072,512,3.04765,3
lu_omp_3,3,4096,512,6.64962,3
lu_omp_3,3,4096,512,6.70973,3
lu_omp_3,3,4096,512,6.69414,3
lu_omp_3,3,5120,512,13.1992,3
lu_omp_3,3,5120,512,13.2983,3
lu_omp_3,3,5120,512,13.2523,3
lu_omp_3,3,6144,512,26.8525,3
lu_omp_3,3,6144,512,26.1757,3
lu_omp_3,3,6144,512,26.1536,3
lu_omp_3,3,7168,512,40.2956,3
lu_omp_3,3,7168,512,40.3136,3
lu_omp_3,3,7168,512,40.4057,3
lu_omp_3,3,8192,512,58.0549,3
lu_omp_3,3,8192,512,57.6976,3
lu_omp_3,3,8192,512,58.1571,3
