Exp,Op,Matrix Size,Block Size,Time,P
matmul_omp_1,3,1024,512,0.65606,1
matmul_omp_1,3,1024,512,0.654013,1
matmul_omp_1,3,1024,512,0.654452,1
matmul_omp_1,3,2048,512,5.22994,1
matmul_omp_1,3,2048,512,5.22628,1
matmul_omp_1,3,2048,512,5.22845,1
matmul_omp_1,3,3072,512,17.6387,1
matmul_omp_1,3,3072,512,17.6448,1
matmul_omp_1,3,3072,512,17.6472,1
matmul_omp_1,3,4096,512,44.3417,1
matmul_omp_1,3,4096,512,44.3342,1
matmul_omp_1,3,4096,512,44.3461,1
matmul_omp_1,3,5120,512,90.0246,1
matmul_omp_1,3,5120,512,90.04,1
matmul_omp_1,3,5120,512,90.0146,1
matmul_omp_1,3,6144,512,158.032,1
matmul_omp_1,3,6144,512,157.907,1
matmul_omp_1,3,6144,512,157.903,1
matmul_omp_1,3,7168,512,257.856,1
matmul_omp_1,3,7168,512,257.598,1
matmul_omp_1,3,7168,512,257.676,1
matmul_omp_1,3,8192,512,392.286,1
matmul_omp_1,3,8192,512,392.2,1
matmul_omp_1,3,8192,512,392.234,1
