Exp,Op,Matrix Size,Block Size,Time,P
lu_omp_1,3,1024,512,0.244401,1
lu_omp_1,3,1024,512,0.242468,1
lu_omp_1,3,1024,512,0.243577,1
lu_omp_1,3,2048,512,1.7902,1
lu_omp_1,3,2048,512,1.79289,1
lu_omp_1,3,2048,512,1.79136,1
lu_omp_1,3,3072,512,5.95837,1
lu_omp_1,3,3072,512,5.96262,1
lu_omp_1,3,3072,512,5.96656,1
lu_omp_1,3,4096,512,13.9755,1
lu_omp_1,3,4096,512,13.9766,1
lu_omp_1,3,4096,512,13.9839,1
lu_omp_1,3,5120,512,27.538,1
lu_omp_1,3,5120,512,27.5629,1
lu_omp_1,3,5120,512,27.5875,1
lu_omp_1,3,6144,512,47.8331,1
lu_omp_1,3,6144,512,47.8745,1
lu_omp_1,3,6144,512,47.7872,1
lu_omp_1,3,7168,512,75.8759,1
lu_omp_1,3,7168,512,75.9283,1
lu_omp_1,3,7168,512,75.8758,1
lu_omp_1,3,8192,512,112.604,1
lu_omp_1,3,8192,512,112.628,1
lu_omp_1,3,8192,512,112.719,1
