Exp,Op,Matrix Size,Block Size,Time,P
lu_omp_3,2,1024,128,0.236087,3
lu_omp_3,2,1024,128,0.235456,3
lu_omp_3,2,1024,128,0.235471,3
lu_omp_3,2,2048,128,1.87363,3
lu_omp_3,2,2048,128,1.8729,3
lu_omp_3,2,2048,128,1.87305,3
lu_omp_3,2,3072,128,6.3198,3
lu_omp_3,2,3072,128,6.3223,3
lu_omp_3,2,3072,128,6.32532,3
lu_omp_3,2,4096,128,14.967,3
lu_omp_3,2,4096,128,14.9756,3
lu_omp_3,2,4096,128,14.9681,3
lu_omp_3,2,5120,128,29.442,3
lu_omp_3,2,5120,128,29.4554,3
lu_omp_3,2,5120,128,29.4925,3
lu_omp_3,2,6144,128,51.1904,3
lu_omp_3,2,6144,128,51.2292,3
lu_omp_3,2,6144,128,51.2039,3
lu_omp_3,2,7168,128,81.3728,3
lu_omp_3,2,7168,128,81.3633,3
lu_omp_3,2,7168,128,81.3783,3
lu_omp_3,2,8192,128,121.601,3
lu_omp_3,2,8192,128,121.623,3
lu_omp_3,2,8192,128,121.512,3
