Exp,Op,Matrix Size,Block Size,Time,P
lu_omp_3,4,1024,128,0.095463,3
lu_omp_3,4,1024,128,0.095345,3
lu_omp_3,4,1024,128,0.095152,3
lu_omp_3,4,2048,128,0.693591,3
lu_omp_3,4,2048,128,0.693539,3
lu_omp_3,4,2048,128,0.693108,3
lu_omp_3,4,3072,128,2.29312,3
lu_omp_3,4,3072,128,2.29447,3
lu_omp_3,4,3072,128,2.29441,3
lu_omp_3,4,4096,128,5.39373,3
lu_omp_3,4,4096,128,5.39668,3
lu_omp_3,4,4096,128,5.39947,3
lu_omp_3,4,5120,128,10.5771,3
lu_omp_3,4,5120,128,10.5839,3
lu_omp_3,4,5120,128,10.5909,3
lu_omp_3,4,6144,128,18.3627,3
lu_omp_3,4,6144,128,18.3658,3
lu_omp_3,4,6144,128,18.3624,3
lu_omp_3,4,7168,128,29.1404,3
lu_omp_3,4,7168,128,29.1347,3
lu_omp_3,4,7168,128,29.1591,3
lu_omp_3,4,8192,128,43.5049,3
lu_omp_3,4,8192,128,43.4882,3
lu_omp_3,4,8192,128,43.5065,3
