Exp,Op,Matrix Size,Block Size,Time,P
matmul_omp_1,1,1024,256,0.655766,1
matmul_omp_1,1,1024,256,0.654954,1
matmul_omp_1,1,1024,256,0.654703,1
matmul_omp_1,1,2048,256,5.24329,1
matmul_omp_1,1,2048,256,5.24301,1
matmul_omp_1,1,2048,256,5.24433,1
matmul_omp_1,1,3072,256,17.7083,1
matmul_omp_1,1,3072,256,17.7053,1
matmul_omp_1,1,3072,256,17.7013,1
matmul_omp_1,1,4096,256,42.2092,1
matmul_omp_1,1,4096,256,42.2194,1
matmul_omp_1,1,4096,256,42.2147,1
matmul_omp_1,1,5120,256,82.0986,1
matmul_omp_1,1,5120,256,82.0999,1
matmul_omp_1,1,5120,256,82.0926,1
matmul_omp_1,1,6144,256,144.542,1
matmul_omp_1,1,6144,256,144.432,1
matmul_omp_1,1,6144,256,144.383,1
matmul_omp_1,1,7168,256,237.581,1
matmul_omp_1,1,7168,256,237.707,1
matmul_omp_1,1,7168,256,237.773,1
matmul_omp_1,1,8192,256,390.838,1
matmul_omp_1,1,8192,256,389.62,1
matmul_omp_1,1,8192,256,389.596,1
