Exp,Op,Matrix Size,Block Size,Time,P
matmul_omp_3,3,1024,512,0.34269,3
matmul_omp_3,3,1024,512,0.342209,3
matmul_omp_3,3,1024,512,0.341992,3
matmul_omp_3,3,2048,512,2.49331,3
matmul_omp_3,3,2048,512,2.49473,3
matmul_omp_3,3,2048,512,2.49296,3
matmul_omp_3,3,3072,512,6.33064,3
matmul_omp_3,3,3072,512,6.33206,3
matmul_omp_3,3,3072,512,6.33129,3
matmul_omp_3,3,4096,512,23.3543,3
matmul_omp_3,3,4096,512,23.3026,3
matmul_omp_3,3,4096,512,23.352,3
matmul_omp_3,3,5120,512,48.3284,3
matmul_omp_3,3,5120,512,49.7339,3
matmul_omp_3,3,5120,512,49.6496,3
matmul_omp_3,3,6144,512,58.5978,3
matmul_omp_3,3,6144,512,58.5986,3
matmul_omp_3,3,6144,512,58.6219,3
matmul_omp_3,3,7168,512,145.515,3
matmul_omp_3,3,7168,512,145.43,3
matmul_omp_3,3,7168,512,145.645,3
matmul_omp_3,3,8192,512,212.366,3
matmul_omp_3,3,8192,512,213.938,3
matmul_omp_3,3,8192,512,214.907,3
